Page,Date,Title,Link
https://www.unair.ac.id/unair-news-infografik/page/6/,08/06/2021,"Profil: Dr. Muhammad Madyan, SE., M.Si., M.Fin.",https://www.unair.ac.id/profil-dr-muhammad-madyan-se-m-si-m-fin/
https://www.unair.ac.id/unair-news-infografik/page/6/,11/04/2021,"Profil: Prof. Dr. Bambang Sektiari Lukiswanto, DEA, DVM",https://www.unair.ac.id/profil-prof-dr-bambang-sektiari-lukiswanto-dea-dvm/
https://www.unair.ac.id/unair-news-infografik/page/7/,11/04/2021,Ghosting Menurut Pakar UNAIR,https://www.unair.ac.id/ghosting-menurut-pakar-unair/
https://www.unair.ac.id/unair-news-infografik/page/7/,11/04/2021,Tips Investasi Saham bagi Pemula,https://www.unair.ac.id/tips-investasi-saham-bagi-pemula/
https://www.unair.ac.id/unair-news-infografik/page/7/,11/04/2021,SMART University Ala Universitas Airlangga,https://www.unair.ac.id/smart-university-ala-universitas-airlangga/
https://www.unair.ac.id/unair-news-infografik/page/7/,17/03/2021,Ghosting Menurut Pakar UNAIR,https://www.unair.ac.id/ghosting-menurut-pakar-unair-2/
https://www.unair.ac.id/unair-news-infografik/page/7/,01/03/2021,Infografik: SMART University Ala Universitas Airlangga,https://www.unair.ac.id/smart-university-ala-universitas-airlangga-2/
https://www.unair.ac.id/unair-news-infografik/page/7/,11/02/2021,Profil Alumni: Audrey Maximillian,https://www.unair.ac.id/profil-alumni-audrey-maximillian/
https://www.unair.ac.id/unair-news-infografik/page/7/,10/02/2021,Infografik: Etika Berkomunikasi Digital dengan Dosen,https://www.unair.ac.id/tips-etika-berkomunikasi-digital/
https://www.unair.ac.id/unair-news-infografik/page/7/,08/02/2021,Infografik: Ada Apa dengan AEE 2021?,https://www.unair.ac.id/ada-apa-dengan-aee-2021/
https://www.unair.ac.id/unair-news-infografik/page/7/,05/02/2021,Infografik: Jalur Masuk Universitas Airlangga,https://www.unair.ac.id/jalur-masuk-universitas-airlangga/
https://www.unair.ac.id/unair-news-infografik/page/7/,04/02/2021,"Profil: dr. Muhammad Miftahussurur, M.Kes., Sp.PD-KGEH., Ph.D",https://www.unair.ac.id/profil-dr-muhammad-miftahussurur-m-kes-sp-pd-kgeh-ph-d/
https://www.unair.ac.id/unair-news-infografik/page/7/,03/02/2021,Infografik: Tips Memilih Jurusan Kata Dosen Psikologi,https://www.unair.ac.id/tips-memilih-jurusan-kata-dosen-psikologi/
https://www.unair.ac.id/unair-news-infografik/page/7/,02/02/2021,"Profil Alumni: Rr Ayu Maulida Putri, S.H",https://www.unair.ac.id/profil-rr-ayu-maulida-putri-s-h/
https://www.unair.ac.id/unair-news-infografik/page/7/,02/02/2021,Infografik: Mari Kenali Karakter Bakat dan Minat,https://www.unair.ac.id/mari-kenali-karakter-bakat-dan-minat/
https://www.unair.ac.id/unair-news-infografik/page/7/,29/01/2021,"Infografik: Perhatikan, Tips Menulis Artikel Ilmiah",https://www.unair.ac.id/perhatikan-tips-menulis-artikel-ilmiah/
https://www.unair.ac.id/unair-news-infografik/page/7/,28/01/2021,Infografik: Aplikasi Dokter Safe,https://www.unair.ac.id/aplikasi-dokter-safe/
https://www.unair.ac.id/unair-news-infografik/page/8/,27/01/2021,"Profil: Prof. Dr. Mohammad Nasih, SE., MT., Ak",https://www.unair.ac.id/profil-prof-dr-mohammad-nasih-se-mt-ak/
https://www.unair.ac.id/unair-news-infografik/page/8/,26/01/2021,Infografik: Cara Menuju UNAIR,https://www.unair.ac.id/cara-menuju-unair/
https://www.unair.ac.id/unair-news-infografik/page/8/,25/01/2021,Infografik: Pakai Masker Masih 4 Tahun lagi?,https://www.unair.ac.id/pakai-masker-masih-4-tahun-lagi/
https://www.unair.ac.id/unair-news-infografik/page/8/,21/01/2021,Infografik: 3 Start-Up Karya Alumni UNAIR,https://www.unair.ac.id/kenalan-pada-3-start-up-karya-alumni-unair/
https://www.unair.ac.id/unair-news-infografik/page/8/,21/01/2021,Infografik: Keketatan Jalur SNMPTN dan SBMPTN UNAIR 2020,https://www.unair.ac.id/tingkat-keketatan-jalur-snmptn-dan-sbmptn-unair-2020/
https://www.unair.ac.id/unair-news-infografik/page/8/,20/01/2021,Infografik: Rektor UNAIR dari Masa ke Masa,https://www.unair.ac.id/rektor-unair-dari-masa-ke-masa/
https://www.unair.ac.id/unair-news-infografik/page/8/,19/01/2021,Infografik: Layanan Perpustakaan UNAIR saat Pandemi,https://www.unair.ac.id/layanan-perpustakaan-unair-saat-pandemi-covid-19/
https://www.unair.ac.id/unair-news-infografik/page/8/,18/01/2021,Infografik: RSTKA 3 Hari Berlayar Menuju Sulbar,https://www.unair.ac.id/rstka-3-hari-berlayar-menuju-sulbar/
https://www.unair.ac.id/unair-news-infografik/page/8/,15/01/2021,Infografik: 6 Tips bagi Fresh Graduate saat Melamar Kerja,https://www.unair.ac.id/6-tips-bagi-fresh-graduate-saat-melamar-kerja/
https://www.unair.ac.id/unair-news-infografik/page/8/,14/01/2021,Infografik: Daftar Program Studi UNAIR di Kampus C,https://www.unair.ac.id/daftar-program-studi-unair-di-kampus-c/
https://www.unair.ac.id/unair-news-infografik/page/8/,13/01/2021,Infografik: Program Studi UNAIR di Kampus B,https://www.unair.ac.id/daftar-program-studi-unair-di-kampus-a-2/
https://www.unair.ac.id/unair-news-infografik/page/8/,12/01/2021,Infografik: Program Studi UNAIR di Kampus A,https://www.unair.ac.id/daftar-program-studi-unair-di-kampus-a/
https://www.unair.ac.id/category/pakar/,25/10/2022,"Dosen Toksikologi UNAIR Paparkan Toksisitas Etilen Glikol, Senyawa Kimia yang Diduga Penyebab Gagal Ginjal Akut pada Anak",https://www.unair.ac.id/dosen-toksikologi-unair-paparkan-toksisitas-etilen-glikol-senyawa-kimia-yang-diduga-penyebab-gagal-ginjal-akut-pada-anak/
https://www.unair.ac.id/category/pakar/,21/10/2022,Dosen UNAIR Dorong Percepatan Kastrasi Jantan untuk Tekan Populasi Kucing Liar,https://www.unair.ac.id/dosen-unair-dorong-percepatan-kastrasi-jantan-untuk-tekan-populasi-kucing-liar/
https://www.unair.ac.id/category/pakar/,19/10/2022,Pakar Hukum UNAIR: Gas Air Mata dan Kekerasan Langgar Etik Hingga Pidana,https://www.unair.ac.id/pakar-hukum-unair-gas-air-mata-dan-kekerasan-langgar-etik-hingga-pidana/
https://www.unair.ac.id/category/pakar/,18/10/2022,Langkah Bijak Pilih Layanan Penitipan Hewan Kesayanganmu ,https://www.unair.ac.id/langkah-bijak-pilih-layanan-penitipan-hewan-kesayanganmu/
https://www.unair.ac.id/category/pakar/,17/10/2022,"Minuman Berpemanis dan Plastik Kena Cukai, Dosen UNAIR: Intervensi Hilir juga Perlu  ",https://www.unair.ac.id/minuman-berpemanis-dan-plastik-kena-cukai-dosen-unair-intervensi-hilir-juga-perlu/
https://www.unair.ac.id/category/pakar/,17/10/2022,Pakar Toksikologi UNAIR Beberkan Sifat Dasar dan Efek Senyawa Kimia Gas Air Mata,https://www.unair.ac.id/pakar-toksikologi-unair-beberkan-sifat-dasar-dan-efek-senyawa-kimia-gas-air-mata/
https://www.unair.ac.id/category/pakar/,14/10/2022,Psikolog UNAIR: Kenali Penanganan Post Trauma pada Korban Kanjuruhan,https://www.unair.ac.id/psikolog-unair-kenali-penanganan-post-trauma-pada-korban-kanjuruhan/
https://www.unair.ac.id/category/pakar/,13/10/2022,Guru Besar Psikologi UNAIR Bahas Tips Sembuhkan Trauma Perselingkuhan,https://www.unair.ac.id/guru-besar-psikologi-unair-bahas-tips-sembuhkan-trauma-perselingkuhan/
